algo,taille,temps
stdsort,100000,0.006028
stdsort,100000,0.005608
stdsort,100000,0.012475
stdsort,100000,0.005953
stdsort,100000,0.012430
stdsort,100000,0.012627
stdsort,100000,0.012323
stdsort,100000,0.006216
stdsort,100000,0.012431
stdsort,100000,0.012457
stdsort,10000,0.001036
stdsort,10000,0.001032
stdsort,10000,0.001025
stdsort,10000,0.001031
stdsort,10000,0.001012
stdsort,10000,0.001026
stdsort,10000,0.001018
stdsort,10000,0.001018
stdsort,10000,0.001020
stdsort,10000,0.000506
stdsort,1000,0.000043
stdsort,1000,0.000063
stdsort,1000,0.000079
stdsort,1000,0.000079
stdsort,1000,0.000078
stdsort,1000,0.000079
stdsort,1000,0.000086
stdsort,1000,0.000077
stdsort,1000,0.000081
stdsort,1000,0.000077
stdsort,500000,0.045183
stdsort,500000,0.044163
stdsort,500000,0.045247
stdsort,500000,0.043900
stdsort,500000,0.044382
stdsort,500000,0.044778
stdsort,500000,0.044404
stdsort,500000,0.045653
stdsort,500000,0.045827
stdsort,500000,0.046104
stdsort,50000,0.002890
stdsort,50000,0.004098
stdsort,50000,0.005965
stdsort,50000,0.005850
stdsort,50000,0.005815
stdsort,50000,0.005876
stdsort,50000,0.005947
stdsort,50000,0.005828
stdsort,50000,0.005953
stdsort,50000,0.002652
stdsort,5000,0.000359
stdsort,5000,0.000471
stdsort,5000,0.000486
stdsort,5000,0.000472
stdsort,5000,0.000468
stdsort,5000,0.000478
stdsort,5000,0.000473
stdsort,5000,0.000488
stdsort,5000,0.000464
stdsort,5000,0.000473
qsort,100000,0.020784
qsort,100000,0.012861
qsort,100000,0.012916
qsort,100000,0.012824
qsort,100000,0.012835
qsort,100000,0.012623
qsort,100000,0.011247
qsort,100000,0.011226
qsort,100000,0.010663
qsort,100000,0.010247
qsort,10000,0.000844
qsort,10000,0.000821
qsort,10000,0.000858
qsort,10000,0.000850
qsort,10000,0.001101
qsort,10000,0.001633
qsort,10000,0.001784
qsort,10000,0.001799
qsort,10000,0.001790
qsort,10000,0.001791
qsort,1000,0.000147
qsort,1000,0.000151
qsort,1000,0.000150
qsort,1000,0.000148
qsort,1000,0.000150
qsort,1000,0.000148
qsort,1000,0.000148
qsort,1000,0.000148
qsort,1000,0.000156
qsort,1000,0.000149
qsort,500000,0.056984
qsort,500000,0.057270
qsort,500000,0.057132
qsort,500000,0.056945
qsort,500000,0.056915
qsort,500000,0.057342
qsort,500000,0.057047
qsort,500000,0.056874
qsort,500000,0.057099
qsort,500000,0.056996
qsort,50000,0.004823
qsort,50000,0.004836
qsort,50000,0.004826
qsort,50000,0.005013
qsort,50000,0.005321
qsort,50000,0.005314
qsort,50000,0.005306
qsort,50000,0.005280
qsort,50000,0.006445
qsort,50000,0.009406
qsort,5000,0.000747
qsort,5000,0.000741
qsort,5000,0.000848
qsort,5000,0.000850
qsort,5000,0.000842
qsort,5000,0.000846
qsort,5000,0.000843
qsort,5000,0.000840
qsort,5000,0.000854
qsort,5000,0.000842
insertion,100000,0.440741
insertion,100000,0.431646
insertion,100000,0.432841
insertion,100000,0.429540
insertion,100000,0.430405
insertion,100000,0.432117
