algo,taille,temps
insertion,100000,0.430351
insertion,100000,0.423740
insertion,100000,0.424308
insertion,100000,0.424567
insertion,10000,0.003093
insertion,10000,0.003265
insertion,10000,0.004153
insertion,10000,0.006130
insertion,10000,0.004315
insertion,10000,0.006635
insertion,10000,0.006372
insertion,10000,0.006293
insertion,10000,0.006452
insertion,10000,0.006416
insertion,1000,0.000152
insertion,1000,0.000152
insertion,1000,0.000151
insertion,1000,0.000153
insertion,1000,0.000154
insertion,1000,0.000152
insertion,1000,0.000150
insertion,1000,0.000154
insertion,1000,0.000152
insertion,1000,0.000153
insertion,500000,12.519251
insertion,500000,12.432611
insertion,500000,12.585331
insertion,500000,12.869899
insertion,500000,12.644927
insertion,500000,12.567634
insertion,500000,13.553853
insertion,500000,12.705347
insertion,500000,12.998348
insertion,500000,12.589240
insertion,50000,0.088230
insertion,50000,0.087839
insertion,50000,0.087707
insertion,50000,0.088971
insertion,50000,0.088179
insertion,50000,0.089441
insertion,50000,0.087370
insertion,50000,0.090184
insertion,50000,0.088220
insertion,50000,0.091559
insertion,5000,0.000810
insertion,5000,0.000938
insertion,5000,0.001370
insertion,5000,0.001729
insertion,5000,0.001722
insertion,5000,0.001715
insertion,5000,0.001640
insertion,5000,0.001717
insertion,5000,0.001721
insertion,5000,0.001725
merge,100000,0.010196
merge,100000,0.010907
merge,100000,0.010990
merge,100000,0.011025
merge,100000,0.011896
merge,100000,0.012202
merge,100000,0.011679
merge,100000,0.010661
merge,100000,0.010531
merge,100000,0.021054
merge,10000,0.001326
merge,10000,0.001334
merge,10000,0.001330
merge,10000,0.001323
merge,10000,0.001464
merge,10000,0.002083
merge,10000,0.002074
merge,10000,0.002075
merge,10000,0.002093
merge,10000,0.002075
merge,1000,0.000176
merge,1000,0.000176
merge,1000,0.000184
merge,1000,0.000178
merge,1000,0.000183
merge,1000,0.000176
merge,1000,0.000175
merge,1000,0.000185
merge,1000,0.000183
merge,1000,0.000185
merge,500000,0.055843
merge,500000,0.055574
merge,500000,0.055977
merge,500000,0.055506
merge,500000,0.055613
merge,500000,0.055602
merge,500000,0.055928
merge,500000,0.055522
merge,500000,0.055506
merge,500000,0.055592
merge,50000,0.005161
merge,50000,0.005317
merge,50000,0.005846
merge,50000,0.007306
merge,50000,0.011012
merge,50000,0.010974
merge,50000,0.010981
merge,50000,0.010976
merge,50000,0.010751
merge,50000,0.008761
merge,5000,0.001020
merge,5000,0.001009
merge,5000,0.001017
merge,5000,0.001013
merge,5000,0.001019
merge,5000,0.001013
merge,5000,0.001009
merge,5000,0.001017
merge,5000,0.001018
merge,5000,0.001005
mergeSeuil,100000,0.019537
mergeSeuil,100000,0.012938
mergeSeuil,100000,0.012688
mergeSeuil,100000,0.013986
mergeSeuil,100000,0.011757
mergeSeuil,100000,0.010144
mergeSeuil,100000,0.010178
mergeSeuil,100000,0.010158
mergeSeuil,100000,0.010221
mergeSeuil,100000,0.010669
mergeSeuil,10000,0.001019
mergeSeuil,10000,0.001006
mergeSeuil,10000,0.001229
mergeSeuil,10000,0.001846
mergeSeuil,10000,0.002085
mergeSeuil,10000,0.002078
mergeSeuil,10000,0.002074
mergeSeuil,10000,0.002070
mergeSeuil,10000,0.002072
mergeSeuil,10000,0.002077
mergeSeuil,1000,0.000160
mergeSeuil,1000,0.000158
mergeSeuil,1000,0.000158
mergeSeuil,1000,0.000161
mergeSeuil,1000,0.000161
mergeSeuil,1000,0.000158
mergeSeuil,1000,0.000171
mergeSeuil,1000,0.000160
mergeSeuil,1000,0.000168
mergeSeuil,1000,0.000160
mergeSeuil,500000,0.055644
mergeSeuil,500000,0.055804
mergeSeuil,500000,0.055417
mergeSeuil,500000,0.055618
mergeSeuil,500000,0.055551
mergeSeuil,500000,0.055623
mergeSeuil,500000,0.055381
mergeSeuil,500000,0.055740
mergeSeuil,500000,0.055651
mergeSeuil,500000,0.055836
mergeSeuil,50000,0.005136
mergeSeuil,50000,0.005174
mergeSeuil,50000,0.005189
mergeSeuil,50000,0.005158
mergeSeuil,50000,0.005678
mergeSeuil,50000,0.007980
mergeSeuil,50000,0.010965
mergeSeuil,50000,0.010940
mergeSeuil,50000,0.009861
mergeSeuil,50000,0.007312
mergeSeuil,5000,0.000671
mergeSeuil,5000,0.000903
mergeSeuil,5000,0.001021
mergeSeuil,5000,0.001017
mergeSeuil,5000,0.001010
mergeSeuil,5000,0.001010
mergeSeuil,5000,0.001010
mergeSeuil,5000,0.001019
mergeSeuil,5000,0.001015
mergeSeuil,5000,0.001005
